data,quota,quote_circolanti,tvl_usdc,btc_accumulati,sottoscrizioni_simulate_usdc,sigillo_tx
2026-07-23,1.018886,22699.03,23127.72,0.005696,2750.0,
2026-07-25,1.018839,22699.03,23126.65,0.00573487,0.0,0x5bc0875f2f44f87d8f1935695ca574b81d3804fb563558684e56f05970f7d506
2026-07-26,1.019024,24161.21,24620.85,0.00576395,1490.0,0x9b6ed90b12ac15410619fb2cfd1ed451114d914711a566948e29e183deb6ab77
2026-07-27,1.019427,24651.68,25130.59,0.00581714,500.0,0xd76da08d82c32e818dc672c8a20822ba73b6019360f944e5b5e234a057d58a06
2026-07-28,1.019041,24651.68,25121.07,0.0058341,0.0,0xc5c9c9e9419fc382543baa627f0f268ec27e0fb3e0835f86b2a1ef0a8b40e9bc
2026-07-29,1.019436,24651.68,25130.81,0.00588348,0.0,0x2451f88e77ea47aac14596f579a15aa167ff8728d1b20cd091a10d489ccd7769
2026-08-01,1.019202,24651.68,25125.04,0.00589997,0.0,0xf7d5019281af3eb6ede561b3c17aadaee21c84ba43aee9f5eab4f0ca2ab9ef9d
2026-08-02,1.019475,25200.98,25691.77,0.0059639,560.0,0x02323217d34a41b9e8def5b9b5fcf075c0645b2d837eb467e8cdd585606061ab
2026-08-03,1.019309,26280.15,26787.59,0.00598813,1100.0,0xf82ebc657047bebd49d4ee9fc8d99cd224bdeb71fc733c4f8c941ce922c75288
2026-08-05,1.01983,28456.98,29021.28,0.00602673,2220.0,0x0c967fa35b3201ddc65bb14dae42c6bfd420fe7d3d66104ec741197c1b03754a
2026-08-06,1.020082,28996.15,29578.45,0.00608243,550.0,0x40c16a97fac72ee885f42d3975af5a779f63ccd4fa25f7a5210a1e45347f682d
2026-08-07,1.020244,31917.02,32563.15,0.00616747,2980.0,0xd2bcbffc9a441372b3a2637a5f5ebdc686258ceb2676f021cb021d3b6f5002b9
2026-08-09,1.020513,31917.02,32571.74,0.00622946,0.0,0xdbc711001bfcc8820a5cbb0b5e1e659ad307d9415963c7a8eb435104e6a0ab9c
2026-08-10,1.020676,31917.02,32576.94,0.00626704,0.0,0xc1634a536e3f7db1dcb316d53e1c9c0edf9c9671f57d97e65e57129fce55b0bd
2026-08-11,1.020613,31917.02,32574.93,0.00631436,0.0,0xc9db00de3f81cc0130d36d33f38c6cd1dc099c7786532f352d1a1f25b3c1a52c
2026-08-13,1.020783,31917.02,32580.35,0.00668503,0.0,0x2deaea91f39c2b08d7a813de413e0c82739d93f3b603a247c92e3a09339666cc
2026-08-14,1.020875,34738.13,35463.29,0.00678412,2880.0,0x7e978839d03d83f0134d00c44381cba669ceb37df533729fe18640f5d21996d8
2026-08-15,1.020847,35247.51,35982.32,0.00678412,520.0,0xc655032c0b6bfdfb80971e7d541f105afebfb10ecd3ee8c0846f360a93604855
2026-08-16,1.021001,35247.51,35987.74,0.00678853,0.0,0x5bbbb7bc0c2f4b91bc8a4b1cdabf6e8c6dd18292a02b0c4af487d6ab79ae915e
2026-08-17,1.021345,35247.51,35999.87,0.00692574,0.0,0xbac44044278b00690bcea84e4040e0fd7d652d1ad9c25611ca7640c1603e8849
2026-08-18,1.021591,35247.51,36008.54,0.00696517,0.0,0x6afdd102ee867a51f8b0a13c30d5ad75e2d41630576b14c3a9d3b977cf14530d
2026-08-19,1.021664,36363.34,37151.11,0.00699931,1140.0,0x9afa797d6af865bfb82cbf90987b0ee0dc70fa670f6009bca6541ff1d8a98473
2026-08-20,1.022776,37653.94,38511.55,0.00699931,1320.0,0xaba10870a1b876ee46d1eae385ac108797b2f6ed7c780568e12c84e7b512fa1f
2026-08-22,1.024277,37653.94,38568.07,0.00704115,0.0,0xee783111cc16ec0fca62a4def5778bb2f67e9fe29b884fbfe5163460ef072f1f
2026-08-23,1.024281,39059.81,40008.22,0.00712957,1440.0,0x72c2a04edd4cb637eb9da5914967eb0d4d2996262ae6ece07d2a40f1db18f25b
2026-08-24,1.024601,39059.81,40020.72,0.0071532,0.0,0xb885a45282684db79ac9c5d84de0b968f502552074f07f1e60c6901521a05883
2026-08-25,1.025159,39059.81,40042.51,0.00715662,0.0,0x1c6c74e77ff8a2ba0909019445dede47c16103ca7678ef1eefce75c2975e7550
2026-08-26,1.024903,40367.25,41372.51,0.00716689,1340.0,0x9d566cb73920d0c93af5a1056d7ae8c63a967fd469d1305d1542bfbeb381f2c6
2026-08-27,1.025342,40367.25,41390.24,0.00721781,0.0,0x659b480d712131af0e34e02246d78ae47a02d4389bc441c266993a2b320f5ba4
2026-08-29,1.024838,41489.38,42519.89,0.00721781,1150.0,0x2232e3617d407a7a344cc2d90fd2440b3589eaf128b5653ad0e72eabd21e4f3e
2026-08-30,1.02518,44366.92,45484.08,0.007306,2950.0,0x0e8624961d2e5e81ed45bddcd99c843c43a802ed56f54553ddefe4e6e96b7e2f
2026-08-31,1.025318,44366.92,45490.2,0.0073991,0.0,0x8b8bcb261dc7a585bbc9ac3288eaa26201255111acd8632f8e5eb58d12f1b758
2026-09-01,1.025295,45810.41,46969.18,0.0073991,1480.0,0xc6b2ad528fc2bd8194a5cb3c66c120178acb0dfa3bd34bc879c22b66ee26d50b
2026-09-02,1.025361,46892.95,48082.21,0.0074955,1110.0,0xb54df8dda2b6ee879ed2f08125ad47370ede3a646bd3266900395dfdcb7dec69
2026-09-05,1.025917,47633.75,48868.28,0.00757508,760.0,0x1e0381415fb71bab94ce46c5b51f75b93eb10f8d1d6d47dd4d0d526017214563
